consent,encountered_fakenews1,fakenews_pctg1,certainty_nofakenews1,respondent_stories_1,respondent_stories_2,respondent_stories_3,respondent_stories_4,respondent_stories_5,respondent_stories_6,respondent_stories_7,respondent_stories_8,respondent_stories_9,respondent_stories_10,detecting_fakenews1,fakenews_trend1,socmed_use,tf_adv,tf_pdf,tf_spy,tf_wiki,tf_cache,tf_phishing,tie_senate,filibuster,presidential_terms,electoral_college,presvote2020,gender4,gender4_other,birthyr,age,age4,race,race_other,hispanic,hispanic_origin_1,hispanic_origin_2,hispanic_origin_3,hispanic_origin_4,race4,educ,educ4,inputstate,region,newsint,sourcenews_new,votereg,turnout16,presvote16post,presvote16post_t,pid3,pid3_other,pid7,ideo5,intuse,conf02,conf05,conf07,conf08,conf10,conf11,conf12,starttime,endtime,weight,caseid,encountered_fakenews1_post,fakenews_pctg1_post,certainty_nofakenews1_post,respondent_stories_1_post,respondent_stories_2_post,respondent_stories_3_post,respondent_stories_4_post,respondent_stories_5_post,respondent_stories_6_post,respondent_stories_7_post,respondent_stories_8_post,respondent_stories_9_post,respondent_stories_10_post,detecting_fakenews1_post,fakenews_trend1_post,socmed_use_post,presvote20post,presvote20post_t,election_behaviors_1,election_behaviors_2,election_behaviors_3,election_behaviors_4,election_behaviors_5,election_behaviors_6,election_behaviors_7,election_behaviors_8,election_behaviors_9,election_behaviors_10,election_behaviors_11,election_behaviors_12,election_behaviors_13,election_behaviors_14,election_behaviors_15,election_behaviors_16,election_behaviors_17,election_behaviors_oth,won_election,covid_positive,covid_month,covid_date,self_isolation,starttime_post,endtime_post,weight_post,presvote20combined,race4_black,race4_hispanic,race4_other,race4_white,gender4_female,gender4_male,gender4_other_2,gender4_prefer_not_to_say,ideo5_conservative,ideo5_liberal,ideo5_moderate,ideo5_not_sure,ideo5_very_conservative,ideo5_very_liberal,age4_30_44,age4_45_64,age4_65,age4_under_30,educ_factor,education,college,trump_support,female,non_white,knowledge,political_interest,untrustworthy_n,total_n,untrustworthy_flag,percentage_of_total,untrustworthy_ng_n,untrustworthy_ng_flag,percentage_of_total_ng,grinberg_n,grinberg_flag,grinberg_percentage_of_total,untrustworthy_conservative_n,untrustworthy_liberal_n,untrustworthy_conservative_flag,untrustworthy_liberal_flag,hard_news_n,hard_news_flag,hard_news_bin,hard_news_conservative_n,hard_news_liberal_n,hard_news_conservative_flag,hard_news_liberal_flag,fact_check_n,fact_check_flag,mean_ideology,ideology_bin,hard_news_bin_all,total_n_bin_all,untrustworthy_conservative_percentage_info_diet,untrustworthy_liberal_percentage_info_diet,untrustworthy_all_percentage_info_diet,biden_support,age_18_29,age_30_44,age_45_64,age_65_plus,democrat,republican,ai_untrustworthy_flag,ai_untrustworthy_n,untrustworthy_flag_pre,untrustworthy_flag_post,untrustworthy_n_pre,untrustworthy_n_post
I consent,A great deal,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,More than 3 hours per day,5  Full,5  Full,4  Good,4  Good,4  Good,4  Good,The vice president,67,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Donald Trump,Male,__NA__,1970,50,45-64,White,__NA__,No,NA,NA,NA,NA,White,High school graduate,HS or less,Mississippi,South,Most of the time,Television,Yes,No,Did not vote for President,__NA__,Republican,__NA__,Strong Republican,Conservative,Several times a day,A great deal,Some,A great deal,Some,Some,Some,Some,2020-09-22T01:23:41Z,2020-09-22T01:40:21Z,0.317970173746241,1225075915,A fair amount,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,More than 3 hours per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,__NA__,Donald Trump,No,NA,NA,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-03T06:35:42Z,2020-12-03T06:42:24Z,0.5354,Donald Trump,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,4,1,8916,1,1.1215791834903544e-4,0,0,0,1,1,1.1215791834903544e-4,1,0,1,0,139,1,2,0,0,0,0,0,0,-0.27233636363636365,3,2,3,0.00719424460431654,0,0.00719424460431654,0,0,0,1,0,0,1,0,0,1,0,2,0
I consent,A fair amount,51,NA,selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely able,There is somewhat more fake news today,10–30 minutes per day,1  None,1  None,1  None,1  None,1  None,1  None,The vice president,51,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Female,__NA__,1965,55,45-64,Black,__NA__,No,NA,NA,NA,NA,Black,Some college,Some college,Michigan,Midwest,Only now and then,Television,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Strong Democrat,Very liberal,Several times a day,Very little,Quite a lot,None at all,None at all,Some,Very little,Some,2020-09-22T01:31:12Z,2020-09-22T01:42:06Z,3.59280773900123,1225310627,A fair amount,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely able,There is about the same amount of fake news today,10–30 minutes per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,__NA__,Joe Biden,No,NA,NA,None of the time. I am doing everything I normally do.,2020-12-05T04:46:33Z,2020-12-05T04:52:24Z,1.0498,Joe Biden,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,1,1,3,2,0,9305,0,0,0,0,0,0,0,0,0,0,0,0,148,1,2,0,0,0,0,0,0,-0.23285818181818185,3,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
I consent,A great deal,74,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,31–60 minutes per day,4  Good,4  Good,2  Little,4  Good,2  Little,4  Good,The vice president,67,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Donald Trump,Male,__NA__,1957,63,45-64,White,__NA__,No,NA,NA,NA,NA,White,Some college,Some college,Louisiana,South,Most of the time,Television,Yes,Yes,Donald Trump,__NA__,Republican,__NA__,Strong Republican,Conservative,Several times a day,A great deal,Some,A great deal,Very little,Very little,Very little,Very little,2020-09-22T01:36:55Z,2020-09-22T01:47:24Z,0.475047979728328,1225281527,A fair amount,66,NA,selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,10–30 minutes per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,__NA__,Donald Trump,Yes,October,2020-10-15,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-02T20:33:59Z,2020-12-02T20:43:48Z,0.7678,Donald Trump,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,3,4,0,1335,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
I consent,A fair amount,18,NA,selected,selected,selected,selected,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,2–3 hours per day,3  Some,3  Some,3  Some,3  Some,3  Some,3  Some,The vice president,67,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Female,__NA__,1966,54,45-64,Black,__NA__,No,NA,NA,NA,NA,Black,Post-grad,Postgrad,New York,Northeast,Some of the time,Television,Yes,Yes,Donald Trump,__NA__,Democrat,__NA__,Not very strong Democrat,Moderate,Several times a day,Quite a lot,Quite a lot,Some,Some,Some,Some,Quite a lot,2020-09-22T01:13:46Z,2020-09-22T01:48:43Z,2.32807632319608,1221700383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joe Biden,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,4,1,0,1,1,3,3,0,3369,0,0,0,0,0,0,0,0,0,0,0,0,188,1,2,2,0,1,0,0,0,-0.27517972972972976,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
I consent,A fair amount,50,NA,selected,selected,selected,selected,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,More than 3 hours per day,3  Some,4  Good,2  Little,2  Little,2  Little,4  Good,The vice president,60,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Male,__NA__,1957,63,45-64,White,__NA__,No,NA,NA,NA,NA,White,Post-grad,Postgrad,South Dakota,Midwest,Most of the time,Television,Yes,Yes,Hillary Clinton,__NA__,Independent,__NA__,Independent,Moderate,Several times a day,Some,Quite a lot,None at all,Very little,Some,Some,Quite a lot,2020-09-22T01:39:20Z,2020-09-22T01:51:42Z,0.379343597920911,1223941341,A fair amount,10,NA,selected,selected,NA,NA,NA,NA,NA,NA,NA,NA,Always able,There is much more fake news today,2–3 hours per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,__NA__,Joe Biden,Yes,November,2020-11-28,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-04T03:40:02Z,2020-12-04T03:48:23Z,0.7007,Joe Biden,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,4,1,0,0,0,4,4,0,5147,0,0,0,0,0,0,0,0,0,0,0,0,310,1,3,0,10,0,1,3,1,0.13108412698412697,9,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
I consent,A great deal,63,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Always able,NA,31–60 minutes per day,5  Full,5  Full,4  Good,4  Good,5  Full,4  Good,The Senate majority leader,60,Article II of the U.S. Constitution,Is an assembly that formally elects the president,Joe Biden,Female,__NA__,1956,64,45-64,Black,__NA__,No,NA,NA,NA,NA,Black,2-year,Some college,Maryland,South,Some of the time,A news website not associated with a newspaper,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Strong Democrat,Liberal,Several times a day,Some,Quite a lot,None at all,Some,Some,Some,None at all,2020-09-22T01:22:11Z,2020-09-22T01:51:46Z,1.59089202547115,1225305775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joe Biden,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,1,1,2,3,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,0,0,0,0,0,0,0.0133,8,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
I consent,A great deal,40,NA,selected,selected,selected,selected,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,10–30 minutes per day,4  Good,4  Good,4  Good,4  Good,4  Good,4  Good,The vice president,51,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Female,__NA__,1967,53,45-64,White,__NA__,No,NA,NA,NA,NA,White,Post-grad,Postgrad,Florida,South,Most of the time,A news website not associated with a newspaper,Yes,Yes,Hillary Clinton,__NA__,Independent,__NA__,Lean Democrat,Liberal,Several times a day,Some,Quite a lot,None at all,Very little,Some,Very little,Some,2020-09-22T01:40:10Z,2020-09-22T01:52:21Z,0.286418808732207,1225274527,A great deal,49,NA,selected,selected,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,31–60 minutes per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,__NA__,Joe Biden,Yes,October,2020-10-19,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-07T20:02:56Z,2020-12-07T20:10:21Z,0.3681,Joe Biden,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4,1,0,1,0,3,4,1,2398,1,4.170141784820684e-4,0,0,0,1,1,4.170141784820684e-4,1,0,1,0,363,1,3,0,0,0,0,0,0,-0.3577125806451613,2,3,2,0.00275482093663911,0,0.00275482093663911,1,0,0,1,0,1,0,0,0,0,0,0,0
I consent,A fair amount,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,2–3 hours per day,4  Good,4  Good,3  Some,3  Some,4  Good,3  Some,The vice president,51,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1968,52,45-64,White,__NA__,No,NA,NA,NA,NA,White,2-year,Some college,Iowa,Midwest,Some of the time,A news website not associated with a newspaper,Yes,Yes,Donald Trump,__NA__,Republican,__NA__,Strong Republican,Conservative,Several times a day,Quite a lot,Some,A great deal,Some,Some,Some,Some,2020-09-22T01:44:10Z,2020-09-22T01:53:15Z,1.19753147857123,1225120737,A great deal,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,More than 3 hours per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,__NA__,Donald Trump,Yes,October,2020-10-20,None of the time. I am doing everything I normally do.,2020-12-05T02:38:19Z,2020-12-05T02:50:10Z,0.7028,Donald Trump,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,1,1,0,3,3,0,15475,0,0,0,0,0,0,0,0,0,0,0,0,277,1,3,0,0,0,0,0,0,0.03852,9,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
I consent,A fair amount,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,Less than 10 minutes per day,5  Full,5  Full,5  Full,5  Full,5  Full,5  Full,The vice president,60,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Male,__NA__,1980,40,30-44,White,__NA__,No,NA,NA,NA,NA,White,4-year,College grad,Indiana,Midwest,Most of the time,A news website not associated with a newspaper,Yes,Yes,Gary Johnson,__NA__,Democrat,__NA__,Not very strong Democrat,Moderate,Several times a day,Very little,Some,None at all,None at all,Very little,Very little,Very little,2020-09-22T01:50:41Z,2020-09-22T01:56:00Z,0.319725080068525,1225325643,Not very much,12,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Always able,There is much more fake news today,Less than 10 minutes per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,__NA__,Joe Biden,Yes,October,2020-10-30,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-02T13:25:12Z,2020-12-02T13:31:34Z,0.5817,Joe Biden,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,3,1,0,0,0,4,4,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,1,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0
I consent,A fair amount,15,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,10–30 minutes per day,2  Little,4  Good,3  Some,2  Little,2  Little,3  Some,The vice president,60,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Male,__NA__,1949,71,65+,White,__NA__,No,NA,NA,NA,NA,White,Some college,Some college,Illinois,Midwest,Most of the time,Television,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Strong Democrat,Liberal,Several times a day,A great deal,A great deal,None at all,Very little,A great deal,A great deal,A great deal,2020-09-22T01:37:11Z,2020-09-22T01:56:36Z,0.376286313070419,1225315695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joe Biden,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,4,4,0,4636,0,0,0,0,0,0,0,0,0,0,0,0,647,1,3,4,0,1,0,1,1,-0.13071581291759468,5,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
I consent,A great deal,76,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,1–2 hours per day,5  Full,5  Full,5  Full,5  Full,5  Full,5  Full,The Senate majority leader,67,Article II of the U.S. Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1953,67,65+,White,__NA__,No,NA,NA,NA,NA,White,2-year,Some college,Ohio,Midwest,Some of the time,A news website not associated with a newspaper,Yes,Yes,Donald Trump,__NA__,Republican,__NA__,Strong Republican,Very conservative,Several times a day,Quite a lot,Quite a lot,A great deal,Some,Very little,Very little,Some,2020-09-22T01:29:47Z,2020-09-22T01:57:24Z,1.56005098930201,1224862903,A great deal,60,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,Less than 10 minutes per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,selected,not selected,selected,not selected,__NA__,I'm still not sure,No,NA,NA,None of the time. I am doing everything I normally do.,2020-12-05T04:44:50Z,2020-12-05T05:26:27Z,0.8568,Donald Trump,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,1,1,0,1,3,9,6444,1,0.00139664804469273,1,1,1.5518311607697082e-4,9,1,0.00139664804469273,8,0,1,0,69,1,2,27,0,1,0,0,0,0.5200552631578947,10,2,2,0.11594202898550723,0,0.13043478260869565,0,0,0,0,1,0,1,0,0,1,1,9,1
I consent,Nearly all news I see is fake,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,2–3 hours per day,3  Some,4  Good,4  Good,1  None,4  Good,3  Some,The president,51,Article II of the U.S. Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1951,69,65+,White,__NA__,No,NA,NA,NA,NA,White,High school graduate,HS or less,Missouri,Midwest,Most of the time,Radio,Yes,Yes,Donald Trump,__NA__,Republican,__NA__,Strong Republican,Conservative,Several times a day,A great deal,Quite a lot,Some,Very little,None at all,None at all,None at all,2020-09-22T01:35:52Z,2020-09-22T01:58:05Z,0.934574781947256,1225312785,Nearly all news I see is fake,80,NA,selected,selected,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,1–2 hours per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,None,Donald Trump,Yes,November,2020-11-24,All of the time. I am staying at home nearly all the time.,2020-12-02T13:52:54Z,2020-12-02T14:11:06Z,2.0747,Donald Trump,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,-0.1668,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
I consent,A fair amount,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is about the same amount of fake news today,31–60 minutes per day,2  Little,4  Good,4  Good,4  Good,4  Good,4  Good,The Senate majority leader,70,Article II of the U.S. Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1983,37,30-44,White,__NA__,No,NA,NA,NA,NA,White,Some college,Some college,Louisiana,South,Some of the time,Television,Yes,No,Did not vote for President,__NA__,Republican,__NA__,Strong Republican,Conservative,Several times a day,Some,Some,Quite a lot,Very little,Very little,Very little,Very little,2020-09-22T01:48:03Z,2020-09-22T01:58:36Z,0.48588328447368,1224995535,A fair amount,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,2–3 hours per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,__NA__,Donald Trump,Yes,October,2020-10-19,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-04T23:51:09Z,2020-12-04T23:56:36Z,0.2574,Donald Trump,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,1,1,0,1,3,2,3651,1,5.477951246233908e-4,0,0,0,2,1,5.477951246233908e-4,2,0,1,0,55,1,2,0,0,0,0,0,0,-0.19372941176470587,4,2,2,0.03636363636363636,0,0.03636363636363636,0,0,1,0,0,0,1,0,0,1,0,2,0
I consent,A great deal,82,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,Most of the time able,There is much more fake news today,Less than 10 minutes per day,NA,1  None,NA,NA,NA,NA,The vice president,60,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1952,68,65+,White,__NA__,No,NA,NA,NA,NA,White,Some college,Some college,Mississippi,South,Most of the time,Television,Yes,Yes,Donald Trump,__NA__,Republican,__NA__,Strong Republican,Very conservative,Several times a day,A great deal,Quite a lot,A great deal,Some,Some,Some,Very little,2020-09-22T01:06:33Z,2020-09-22T01:58:41Z,0.423507440712553,1225232769,Nearly all news I see is fake,98,NA,selected,selected,selected,selected,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,Less than 10 minutes per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,__NA__,Donald Trump,No,NA,NA,Most of the time.  I only leave my home to buy food and other essentials.,2020-12-02T00:57:23Z,2020-12-02T01:14:01Z,0.9537,Donald Trump,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,1,1,0,4,4,189,9252,1,0.02042801556420233,167,1,0.0180501513186338,177,1,0.01913099870298314,165,1,1,1,743,1,3,29,0,1,0,0,0,0.46085,10,3,3,0.22207267833109015,0.00134589502018842,0.2543741588156124,0,0,0,0,1,0,1,0,0,1,1,136,34
I consent,Not very much,17,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,31–60 minutes per day,2  Little,1  None,1  None,1  None,1  None,1  None,The Senate parliamentarian,70,Article II of the U.S. Constitution,Supervises the presidential debates,Joe Biden,Male,__NA__,1945,75,65+,Hispanic,__NA__,Yes,NA,NA,selected,NA,Hispanic,4-year,College grad,Florida,South,Some of the time,A news website not associated with a newspaper,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Not very strong Democrat,Liberal,Several times a day,Quite a lot,Some,None at all,Very little,Some,Quite a lot,Some,2020-09-22T01:31:00Z,2020-09-22T02:00:51Z,1.4609042647058,1225310599,A fair amount,13,NA,selected,selected,selected,selected,selected,selected,NA,NA,NA,NA,NA,There is about the same amount of fake news today,10–30 minutes per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,__NA__,Joe Biden,Yes,September,2020-09-10,Most of the time.  I only leave my home to buy food and other essentials.,2020-12-04T01:13:55Z,2020-12-04T01:54:30Z,0.3786,Joe Biden,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,3,0,12073,0,0,0,0,0,0,0,0,0,0,0,0,120,1,2,0,1,0,1,0,0,-0.31951666666666667,2,2,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
I consent,A fair amount,51,NA,selected,selected,selected,selected,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,10–30 minutes per day,4  Good,4  Good,4  Good,4  Good,4  Good,4  Good,The vice president,60,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Another candidate,Male,__NA__,1956,64,45-64,White,__NA__,No,NA,NA,NA,NA,White,4-year,College grad,Connecticut,Northeast,Most of the time,A news website not associated with a newspaper,Yes,Yes,Other,__NA__,Independent,__NA__,Independent,Moderate,Several times a day,Quite a lot,Quite a lot,Some,Some,Very little,Very little,Some,2020-09-22T01:30:40Z,2020-09-22T02:01:56Z,0.313059882671255,1225310555,A great deal,51,NA,selected,selected,selected,selected,selected,selected,selected,NA,NA,NA,Most of the time able,There is much more fake news today,10–30 minutes per day,Other,__NA__,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,__NA__,Joe Biden,Yes,November,2020-11-10,Most of the time.  I only leave my home to buy food and other essentials.,2020-12-03T04:28:14Z,2020-12-03T05:03:03Z,0.1762,Other,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,3,1,0,0,0,4,4,1,12292,1,8.135372600065082e-5,0,0,0,1,1,8.135372600065082e-5,1,0,1,0,466,1,3,10,0,1,0,2,1,-0.10396111111111112,6,3,3,0.00214592274678111,0,0.00214592274678111,0,0,0,1,0,0,0,0,0,1,0,2,0
I consent,Not very much,10,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,2–3 hours per day,5  Full,5  Full,5  Full,5  Full,5  Full,5  Full,The vice president,60,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Male,__NA__,1981,39,30-44,White,__NA__,No,NA,NA,NA,NA,White,4-year,College grad,Missouri,Midwest,Most of the time,Radio,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Strong Democrat,Very liberal,Several times a day,Very little,A great deal,None at all,Very little,Some,Some,Quite a lot,2020-09-22T01:38:53Z,2020-09-22T02:02:09Z,0.561763635955686,1225315973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joe Biden,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,3,1,0,0,0,4,4,0,8314,0,0,0,0,0,0,0,0,0,0,0,0,255,1,3,0,4,0,1,1,1,-0.2873821989528796,2,3,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
