caseid,untrustworthy_flag,untrustworthy_n,republican,democrat,political_interest,ideology_bin,college,female,non_white,birthyr,weight,age,age_18_29,age_30_44,age_45_64,age_65_plus
305033049,1,129,1,0,4,9,1,0,0,1966,0.34256568296288,50,0,0,1,0
305033050,1,4,1,0,4,8,0,1,1,1949,2.75077066969716,67,0,0,0,1
305033052,0,0,1,0,3,1,0,0,0,1971,1.87030717918355,45,0,0,1,0
305033053,0,0,1,0,4,6,1,0,0,1945,0.206444081809265,71,0,0,0,1
305033054,0,0,1,0,4,9,0,0,0,1945,0.324430376075113,71,0,0,0,1
305033055,1,37,1,0,4,10,0,0,0,1953,1.46565962232458,63,0,0,1,0
305033056,1,21,1,0,3,10,0,0,0,1954,0.821387370417496,62,0,0,1,0
305033057,1,30,0,1,4,2,0,0,0,1943,1.44037595426176,73,0,0,0,1
305033058,0,0,0,1,4,1,0,1,0,1955,0.204074615762758,61,0,0,1,0
305033059,0,0,0,1,4,7,1,1,0,1955,0.401206502467145,61,0,0,1,0
305033060,1,16,1,0,4,6,1,0,0,1956,0.262017896303204,60,0,0,1,0
305033063,0,0,0,1,4,4,1,0,0,1944,0.190925235649378,72,0,0,0,1
305033064,0,0,1,0,4,NA,1,0,0,1956,0.262017896303204,60,0,0,1,0
305033066,1,44,1,0,3,10,1,0,0,1945,0.174482254792965,71,0,0,0,1
305033067,0,0,1,0,4,8,1,0,0,1950,0.157473652425045,66,0,0,0,1
305033068,1,55,0,1,4,3,1,0,0,1942,0.188664577315981,74,0,0,0,1
305033069,0,0,0,1,4,3,1,0,0,1953,0.262017896303204,63,0,0,1,0
305033070,1,120,0,0,4,5,1,1,0,1966,0.148281224208277,50,0,0,1,0
305033071,0,0,0,1,4,7,1,1,0,1955,0.649508394848436,61,0,0,1,0
305033073,1,146,1,0,4,1,1,0,0,1952,0.262017896303204,64,0,0,1,0
305033076,1,171,1,0,4,10,0,1,1,1952,3.2975634614825,64,0,0,1,0
305033077,1,1,1,0,4,9,0,0,0,1960,0.220441846779659,56,0,0,1,0
305033078,0,0,0,1,4,1,1,0,0,1950,0.157473652425045,66,0,0,0,1
305033079,1,178,1,0,4,9,1,0,0,1949,0.157473652425045,67,0,0,0,1
305033080,1,1367,1,0,4,10,1,0,0,1966,0.273419596713742,50,0,0,1,0
305033081,0,0,0,0,4,9,1,0,0,1946,0.206444081809265,70,0,0,0,1
305033082,1,1,1,0,4,10,1,0,0,1948,0.188664577315981,68,0,0,0,1
305033083,1,6,1,0,4,10,1,0,0,1950,0.172313764706301,66,0,0,0,1
305033084,1,11,1,0,4,10,1,0,1,1946,1.18590070536566,70,0,0,0,1
305033085,1,3,1,0,4,8,1,0,0,1942,0.165128215662243,74,0,0,0,1
305033086,0,0,0,1,4,3,1,1,0,1953,0.240050695413558,63,0,0,1,0
305033087,1,66,1,0,4,10,1,0,0,1940,0.206444081809265,76,0,0,0,1
305033089,1,10,0,1,4,3,1,0,0,1962,0.327576022080632,54,0,0,1,0
305033090,0,0,0,1,4,4,1,1,0,1951,1.01768207825723,65,0,0,0,1
305033092,1,157,1,0,4,10,0,0,0,1940,0.300042246118665,76,0,0,0,1
305033093,1,252,1,0,4,10,1,1,0,1954,0.177651397921737,62,0,0,1,0
305033094,0,0,1,0,4,2,0,0,0,1951,0.811828340374167,65,0,0,0,1
305033095,1,5,1,0,4,7,0,0,1,1969,1.20721803248969,47,0,0,1,0
305033099,0,0,0,1,3,2,1,1,0,1957,0.177651397921737,59,0,0,1,0
305033103,0,0,0,1,4,NA,1,0,0,1946,0.165128215662243,70,0,0,0,1
305033104,0,0,0,1,4,4,0,0,0,1941,0.300042246118665,75,0,0,0,1
305033106,0,0,0,1,4,5,1,0,0,1955,0.262017896303204,61,0,0,1,0
305033107,0,0,0,1,4,3,0,0,0,1954,0.238359871579992,62,0,0,1,0
305033114,1,4,1,0,4,1,1,0,0,1939,0.172313764706301,77,0,0,0,1
305033115,0,0,0,1,4,2,1,0,0,1967,0.327576022080632,49,0,0,1,0
305033116,0,0,0,1,4,4,1,0,0,1953,0.327576022080632,63,0,0,1,0
305033117,1,8,1,0,4,10,1,0,0,1937,0.190925235649378,79,0,0,0,1
305033119,1,5,0,1,4,1,1,1,0,1945,0.216449395400719,71,0,0,0,1
305033121,1,3,0,0,3,5,1,0,0,1977,2.28637565019771,39,0,1,0,0
305033122,1,28,1,0,4,10,1,0,0,1955,0.273419596713742,61,0,0,1,0
305033124,1,2,0,1,4,4,0,1,0,1961,0.552167432321024,55,0,0,1,0
305033125,0,0,1,0,4,6,1,0,0,1951,0.188664577315981,65,0,0,0,1
305033127,1,7,0,0,4,4,0,0,0,1947,0.877815631575629,69,0,0,0,1
305033130,0,0,0,1,4,1,0,1,0,1941,0.912980973193812,75,0,0,0,1
305033132,1,3,0,1,2,6,1,1,0,1983,0.99803242206504,33,0,1,0,0
305033134,1,11,0,1,4,2,0,0,0,1956,0.238359871579992,60,0,0,1,0
305033136,0,0,0,1,4,1,1,0,0,1954,0.316814282937428,62,0,0,1,0
305033137,1,22,0,1,4,1,0,1,1,1953,0.492357726064212,63,0,0,1,0
305033138,0,0,0,1,4,1,1,1,0,1951,0.313940871768742,65,0,0,0,1
305033139,0,0,0,1,4,3,1,1,0,1957,0.480673776461849,59,0,0,1,0
305033140,1,19,0,1,4,3,1,0,1,1954,0.522288470301969,62,0,0,1,0
305033141,1,12,1,0,4,10,1,1,0,1955,0.600683450239364,61,0,0,1,0
305033142,0,0,1,0,2,3,0,1,0,1951,0.220291267339017,65,0,0,0,1
305033144,1,922,0,1,4,1,0,1,0,1958,0.184181337807281,58,0,0,1,0
305033145,0,0,0,1,4,1,1,0,0,1946,0.165128215662243,70,0,0,0,1
305033148,0,0,1,0,4,NA,1,1,0,1974,1.04146177111691,42,0,1,0,0
305033149,0,0,0,1,4,4,1,0,0,1943,0.206444081809265,73,0,0,0,1
305033150,0,0,0,0,3,8,0,0,0,1958,0.888151641760821,58,0,0,1,0
305033152,0,0,0,1,3,3,1,0,0,1961,0.741386213179421,55,0,0,1,0
305033153,0,0,0,1,4,2,1,0,0,1955,0.327576022080632,61,0,0,1,0
305033154,0,0,1,0,4,NA,0,0,0,1956,0.220441846779659,60,0,0,1,0
305033155,1,6,0,0,3,5,1,1,0,1959,0.746576786624216,57,0,0,1,0
305033156,1,1,1,0,4,10,1,0,0,1947,0.150906941665891,69,0,0,0,1
305033158,0,0,0,1,4,5,0,1,0,1957,0.498341922626598,59,0,0,1,0
305033159,0,0,0,1,3,3,1,0,0,1954,0.327576022080632,62,0,0,1,0
305033160,0,0,1,0,1,6,1,1,0,1978,0.279504852940136,38,0,1,0,0
305033162,1,8,0,1,4,6,1,0,0,1945,0.206444081809265,71,0,0,0,1
305033163,0,0,0,1,3,7,1,0,0,1958,0.739795079850535,58,0,0,1,0
305033164,1,28,0,0,3,4,0,1,0,1962,0.552167432321024,54,0,0,1,0
305033165,0,0,0,1,3,5,1,1,0,1976,0.267849395047513,40,0,1,0,0
305033166,1,12,0,1,4,3,0,1,0,1944,0.497504044027158,72,0,0,0,1
305033167,1,67,0,0,4,4,1,0,1,1977,0.392675111845184,39,0,1,0,0
305033168,0,0,0,1,4,2,1,1,0,1928,0.173131155567415,88,0,0,0,1
305033169,0,0,0,1,4,NA,1,1,0,1956,0.240050695413558,60,0,0,1,0
305033171,0,0,0,1,4,2,1,1,0,1953,0.164296959808158,63,0,0,1,0
305033172,0,0,0,0,4,3,1,1,0,1943,0.300849418889898,73,0,0,0,1
305033173,1,88,1,0,4,9,0,0,0,1964,0.190656665643001,52,0,0,1,0
305033176,1,9,0,1,4,1,1,0,0,1941,0.206444081809265,75,0,0,0,1
305033177,1,2,1,0,4,8,1,0,0,1970,0.92688457531047,46,0,0,1,0
305033178,1,48,0,1,4,2,1,1,0,1952,0.192009103165981,64,0,0,1,0
305033179,1,41,0,1,4,1,1,1,0,1938,0.347849372478055,78,0,0,0,1
305033180,1,32,1,0,4,10,0,0,0,1940,0.300042246118665,76,0,0,0,1
305033183,0,0,0,0,4,9,1,0,0,1958,0.773647610627608,58,0,0,1,0
305033185,0,0,1,0,4,7,1,0,0,1952,0.773647610627608,64,0,0,1,0
305033186,0,0,0,1,4,3,1,0,0,1954,0.739795079850535,62,0,0,1,0
305033190,1,13,1,0,4,7,0,0,0,1939,0.300042246118665,77,0,0,0,1
305033192,1,4,0,1,4,3,0,0,0,1959,0.515862304233703,57,0,0,1,0
305033196,1,2,0,1,4,3,1,0,0,1962,0.92688457531047,54,0,0,1,0
305033198,1,1,1,0,4,10,0,0,0,1933,1.20224615351572,83,0,0,0,1
305033199,1,2,0,1,4,2,1,1,0,1946,0.376123376592491,70,0,0,0,1
305033200,0,0,1,0,4,7,0,0,0,1949,2.0718294599974,67,0,0,0,1
305033201,0,0,0,1,4,2,1,0,1,1954,0.261919402058379,62,0,0,1,0
305033202,1,6,1,0,4,6,1,1,0,1964,0.542128579050687,52,0,0,1,0
305033203,1,13,1,0,4,9,0,1,1,1950,3.46997205089511,66,0,0,0,1
305033204,1,13,0,1,4,1,1,0,0,1953,0.302951427140516,63,0,0,1,0
305033205,0,0,0,1,4,8,0,0,0,1958,1.22334980536811,58,0,0,1,0
305033209,0,0,0,1,4,6,1,1,0,1953,0.148281224208277,63,0,0,1,0
305033210,0,0,0,1,4,8,0,0,0,1967,0.644933510063292,49,0,0,1,0
305033211,1,1,0,1,4,2,1,1,0,1964,0.240050695413558,52,0,0,1,0
305033212,1,88,1,0,3,10,1,1,0,1957,0.20036437317342,59,0,0,1,0
305033213,0,0,0,1,4,8,1,0,1,1958,0.261919402058379,58,0,0,1,0
305033214,1,9,1,0,3,5,1,1,0,1958,6.28057165310442,58,0,0,1,0
305033215,0,0,0,1,4,5,1,0,0,1953,0.739795079850535,63,0,0,1,0
305033216,0,0,0,1,4,9,0,0,0,1956,0.515862304233703,60,0,0,1,0
305033217,1,8,0,1,4,4,0,1,0,1953,0.604386590387462,63,0,0,1,0
305033219,1,1,0,1,4,6,1,1,0,1968,0.384476039841675,48,0,0,1,0
305033220,1,7,1,0,4,9,0,0,0,1943,0.270794003861219,73,0,0,0,1
305033222,1,1,1,0,4,9,0,1,0,1944,0.497504044027158,72,0,0,0,1
305033223,1,1,0,1,4,1,1,0,0,1957,0.34256568296288,59,0,0,1,0
305033225,1,1,1,0,4,10,1,0,1,1973,0.918910320208654,43,0,1,0,0
305033226,0,0,0,1,4,3,0,1,0,1955,0.220662274048938,61,0,0,1,0
305033227,1,1,1,0,4,10,0,1,0,1944,0.734569532305845,72,0,0,0,1
305033228,0,0,0,0,4,4,0,1,0,1946,0.596045044576912,70,0,0,0,1
305033229,0,0,0,1,4,6,0,0,0,1956,1.17233565661746,60,0,0,1,0
305033230,1,5,1,0,4,8,0,1,0,1962,0.760401504791784,54,0,0,1,0
